key,fr,wo,en
app.back,"Retour","Génn","Back"
app.cancel,"Annuler","Wàññi","Cancel"
app.close,"Fermer","Tugg","Close"
app.confirm,"Confirmer","Seetlu","Confirm"
app.delete,"Supprimer","Sàcc","Delete"
app.done,"Terminé","Jeex na","Done"
app.edit,"Modifier","Soppi","Edit"
app.error,"Une erreur est survenue","Njàngat bu amul","An error occurred"
app.loading,"Chargement en cours…","Mi ngi fey…","Loading…"
app.name,"SunuSàv","SunuSàv","SunuSàv"
app.next,"Suivant","Ci kanam","Next"
app.offline,"Mode hors-ligne activé","Jokkoo dul nekk","Offline mode enabled"
app.open,"Ouvrir","Ubbi","Open"
app.previous,"Précédent","Ci gannaaw","Previous"
app.queued,"Transaction mise en file d'attente","Naan - offline","Transaction queued"
app.refresh,"Actualiser","Fayale","Refresh"
app.retry,"Réessayer","Jéemaatal","Retry"
app.save,"Enregistrer","Fay","Save"
app.success,"Opération réussie","Li nga def am na","Operation successful"
app.syncing,"Synchronisation en cours…","Mi ngi yóbbu…","Syncing in progress…"
app.tagline,"Nos économies, notre avenir","Sunu xaalis, sunu jamm","Our savings, our future"
app.welcome,"Bienvenue, {{name}}","Bëgg nga ci, {{name}}","Welcome, {{name}}"
auth.create_account,"Créer un nouveau compte","Sos kont bu bees","Create new account"
auth.disclaimer,"En continuant, vous acceptez nos conditions d'utilisation","Ci jëkka, ngeen nangal sunu xeet","By continuing, you accept our terms of use"
auth.enter_phone,"Entrez votre numéro de téléphone","Dugal sa numéro telefoon","Enter your phone number"
auth.forgot_password,"Mot de passe oublié?","Jàppal sa password?","Forgot password?"
auth.invalid_code,"Code invalide","Code bi du baax","Invalid code"
auth.invalid_phone,"Numéro de téléphone invalide","Téléphone bu bonul","Invalid phone number"
auth.login,"Connexion","Dugg","Login"
auth.login_failed,"Échec de la connexion","Jëkk bi jàpp","Login failed"
auth.logout,"Déconnexion","Génn","Logout"
auth.nostr_login,"Connexion via clé Nostr","Dugg ak Nostr","Login with Nostr"
auth.phone_login,"Connexion par téléphone","Dugg ak téléfoon","Login with phone"
auth.phone_number,"Numéro de Téléphone","Téléphone","Phone Number"
auth.remember_me,"Se souvenir de moi","Fàttal ma","Remember me"
auth.signup,"Créer un compte","Sos ak kont","Create account"
auth.verify,"Vérifier","Seetlu","Verify"
auth.welcome_back,"Bon retour parmi nous","Bëgg nga ci","Welcome back"
community.community,"Communauté","Gëstu","Community"
community.empowerment,"Autonomisation","Wàll","Empowerment"
community.entrepreneurs,"Entrepreneurs","Jëfandikukat","Entrepreneurs"
community.farmers,"Agriculteurs","Ngor","Farmers"
community.financial_inclusion,"Inclusion financière","Dugg ci xaalis","Financial inclusion"
community.investment,"Investissement","Jëfandikoo","Investment"
community.savings,"Épargne","Fayale","Savings"
community.solidarity,"Solidarité","Jëfandikoo","Solidarity"
community.students,"Étudiants","Jàngalekat","Students"
community.traditional_tontines,"Tontines traditionnelles modernisées","Tontine yu cosaan yi","Traditional tontines modernized"
community.trust,"Confiance","Gëm","Trust"
community.women,"Femmes","Jigéen","Women"
community.youth,"Jeunes","Xale","Youth"
errors.account_locked,"Compte verrouillé.","Kont bi ñu tugg na.","Account locked."
errors.already_member,"Vous êtes déjà membre de ce groupe.","Yaa ngi ci group bi.","You are already a member of this group."
errors.contribution_due,"Contribution en retard.","Jox bi ñu wut.","Contribution overdue."
errors.expired_code,"Code de vérification expiré.","Code bi dugg na.","Verification code expired."
errors.forbidden,"Accès interdit.","Duggul.","Access forbidden."
errors.group_full,"Le groupe est complet.","Group bi jeex na.","Group is full."
errors.insufficient_funds,"Fonds insuffisants.","Xaalis amul.","Insufficient funds."
errors.invalid_amount,"Montant invalide.","Yoon bi du baax.","Invalid amount."
errors.invalid_code,"Code de vérification invalide.","Code bi du baax.","Invalid verification code."
errors.invalid_phone,"Numéro de téléphone invalide.","Téléphone bu bonul.","Invalid phone number."
errors.maintenance,"Maintenance en cours.","Mi ngi defar.","Maintenance in progress."
errors.network,"Pas de connexion Internet.","Jokkoo dul nekk.","No internet connection."
errors.not_found,"Ressource non trouvée.","Gisul.","Resource not found."
errors.not_member,"Vous n'êtes pas membre de ce groupe.","Duggul ci group bi.","You are not a member of this group."
errors.server,"Erreur serveur. Veuillez réessayer plus tard.","Njàngat ci serveur bi.","Server error. Please try again later."
errors.timeout,"Délai d'attente dépassé.","Waxtu bi dugg na.","Request timeout."
errors.unauthorized,"Accès non autorisé.","Duggul.","Unauthorized access."
errors.unknown,"Erreur inconnue.","Njàngat bu kenn xamul.","Unknown error."
errors.validation,"Données invalides.","Xam-xam yi du baax.","Invalid data."
frequency.daily,"Quotidien","Bés bu nekk","Daily"
frequency.monthly,"Mensuel","Weer","Monthly"
frequency.quarterly,"Trimestriel","Fukki weer","Quarterly"
frequency.weekly,"Hebdomadaire","Ayubés","Weekly"
frequency.yearly,"Annuel","At","Yearly"
notifications.contribution_reminder,"Rappel: votre contribution est due","Xal: sa jox ñu wut ko tey","Reminder: your contribution is due today"
notifications.contribution_success,"Votre contribution de {{amount}} sats a été reçue.","Jox nga {{amount}} sats. Jërëjëf!","Your contribution of {{amount}} sats has been received."
notifications.group_completed,"Félicitations! Votre groupe a terminé un cycle","Félicitations! Sa group jeex na jëf","Congratulations! Your group completed a cycle"
notifications.low_balance,"Votre solde est faible","Sa jëfandikukat tuuti na","Your balance is low"
notifications.network_error,"Erreur de connexion réseau","Njàngat ci jokkoo","Network connection error"
notifications.new_group_member,"Un nouveau membre a rejoint votre groupe","Nit bu bees dimloo na sa group","A new member joined your group"
notifications.offline_queue,"Votre transaction a été enregistrée hors-ligne.","Sa jox mi ngi naan — offline.","Your transaction has been queued offline."
notifications.payout_available,"Votre paiement est maintenant disponible","Sa jox mi ngi pare tey","Your payout is now available"
notifications.payout_received,"Vous avez reçu votre paiement de {{amount}} sats 🎉","Jot nga {{amount}} sats 🎉","You received your payment of {{amount}} sats 🎉"
notifications.sync_complete,"Toutes les données sont à jour.","Yóbbu bi pare na.","All data is up to date."
onboarding.add_members,"Ajouter des membres","Daajal nit","Add Members"
onboarding.amount_placeholder,"ex: 10000","Dugal yoon bi","e.g., 10000"
onboarding.amount_required,"Le montant de contribution est requis","Yoon bi ñu wut","Contribution amount is required"
onboarding.creating,"Création...","Mi ngi sos","Creating..."
onboarding.description,"Description","Wax ci tontine bi","Description"
onboarding.description_placeholder,"Description optionnelle...","Wax ci tontine bi","Optional description..."
onboarding.failed_to_create_tontine,"Échec de création de la tontine","Sos tontine bi jàpp","Failed to create tontine"
onboarding.get_started,"Commencer","Jëkka","Get started"
onboarding.max_members,"Membres maximum","Nit ñi ñu am","Maximum Members"
onboarding.max_members_placeholder,"ex: 12","Dugal nit ñi ñu am","e.g., 12"
onboarding.members_added,"membres ajoutés","Nit ñi ñu daaj nañu","members added"
onboarding.members_note,"Vous pouvez ajouter des membres maintenant ou les inviter plus tard par SMS ou QR code","Xal ci nit ñi","You can add members now or invite them later via SMS or QR code"
onboarding.min_members_required,"Minimum 2 membres requis","Nit ñi ñu wut","Minimum 2 members required"
onboarding.name_required,"Le nom du groupe est requis","Tur bi ñu wut","Group name is required"
onboarding.next_step,"Étape suivante","Jëkk ci kanam","Next step"
onboarding.previous_step,"Étape précédente","Génn ci gannaaw","Previous step"
onboarding.skip,"Passer","Dàq","Skip"
onboarding.step,"Étape","Jëkk","Step"
onboarding.step_1_desc,"Formez un cercle d'épargne avec vos proches","Sos ak sa mbokk yi","Form a savings circle with your loved ones"
onboarding.step_1_subtitle,"Configurez les détails de votre groupe tontine","Sos ak sa mbokk yi","Set up your tontine group details"
onboarding.step_1_title,"Informations de base","Sos sa group","Basic Information"
onboarding.step_2_desc,"Chaque membre contribue un montant fixe","Keneen keneen jox yoon bu wóor","Each member contributes a fixed amount"
onboarding.step_2_subtitle,"Invitez des personnes à rejoindre votre groupe","Keneen keneen jox yoon bu wóor","Invite people to join your group"
onboarding.step_2_title,"Ajouter des membres","Jox ci yoon","Add Members"
onboarding.step_3_desc,"À tour de rôle, un membre reçoit le pot commun","Ci yoon, keneen jot li ñu amal","In turn, one member receives the common pot"
onboarding.step_3_subtitle,"Vérifiez vos détails et créez le groupe","Ci yoon, keneen jot li ñu amal","Check your details and create the group"
onboarding.step_3_title,"Réviser et créer","Jot sa jox","Review & Create"
onboarding.step_4_desc,"Utilisez le réseau Lightning pour des paiements instantanés","Jëfandikoo Lightning ngir feewal ci jëkk","Use the Lightning Network for instant payments"
onboarding.step_4_title,"Sécurisé avec Bitcoin","Tey ak Bitcoin","Secured with Bitcoin"
onboarding.tontine_created_successfully,"Tontine créée avec succès!","Tontine bi sos na lu baax","Tontine created successfully!"
onboarding.tontine_name,"Nom du groupe","Tur tontine bi","Group Name"
onboarding.tontine_name_placeholder,"ex: Cercle d'épargne familial","Dugal tur tontine bi","e.g., Family Savings Circle"
onboarding.welcome_subtitle,"Vos économies, votre avenir","Sunu xaalis, sunu jamm","Your savings, your future"
onboarding.welcome_title,"Bienvenue sur SunuSàv","Bëgg nga ci SunuSàv","Welcome to SunuSàv"
settings.about,"À propos","Ci mbirum SunuSàv","About"
settings.account,"Compte","Kont","Account"
settings.backup,"Sauvegarde","Fayale","Backup"
settings.choose_language,"Choisir la langue","Tànn làkk bi","Choose language"
settings.dashboard,"Tableau de bord","Dashboard","Dashboard"
settings.en,"Anglais","Anglais","English"
settings.export_data,"Exporter les données","Yónnee xam-xam yi","Export data"
settings.fr,"Français","Français","Français"
settings.help,"Aide","Jàppal","Help"
settings.import_data,"Importer les données","Jël xam-xam yi","Import data"
settings.language,"Langue","Làkk","Language"
settings.logout,"Se déconnecter","Génn","Logout"
settings.notifications,"Notifications","Xibaar","Notifications"
settings.privacy,"Confidentialité","Sutura","Privacy"
settings.restore,"Restaurer","Dëkkal","Restore"
settings.security,"Sécurité","Tey","Security"
settings.support,"Support","Dëkkal","Support"
settings.terms,"Conditions d'utilisation","Xeet yi","Terms of use"
settings.theme,"Thème","Xarnu","Theme"
settings.version,"Version de l'application","Njumte app bi","App version"
settings.wo,"Wolof","Wolof","Wolof"
sms.contribution_received,"Votre contribution de {{amount}} sats a bien été reçue.","Jox nga {{amount}} sats SunuSàv.","Your contribution of {{amount}} sats has been received."
sms.contribution_reminder,"Rappel: votre contribution de {{amount}} sats est due aujourd'hui.","Xal: sa jox {{amount}} sats ñu wut ko tey.","Reminder: your contribution of {{amount}} sats is due today."
sms.error,"Une erreur s'est produite. Veuillez réessayer plus tard.","Njàngat am na. Jéemaatal ci kanam.","An error occurred. Please try again later."
sms.group_completed,"Félicitations! Votre groupe {{groupName}} a terminé un cycle.","Félicitations! Sa group {{groupName}} jeex na jëf.","Congratulations! Your group {{groupName}} completed a cycle."
sms.group_joined,"Vous avez rejoint le groupe {{groupName}} avec succès.","Dimloo na nga group {{groupName}} lu baax.","You have successfully joined group {{groupName}}."
sms.low_balance,"Attention: votre solde est faible ({{balance}} sats).","Xal: sa jëfandikukat tuuti na ({{balance}} sats).","Warning: your balance is low ({{balance}} sats)."
sms.payout_available,"Votre paiement de {{amount}} sats est maintenant disponible.","Sa jox {{amount}} sats mi ngi pare tey.","Your payment of {{amount}} sats is now available."
sms.payout_notif,"Vous avez reçu votre paiement SunuSàv de {{amount}} sats.","Jot nga {{amount}} sats ci tontine bi.","You received your SunuSàv payment of {{amount}} sats."
sms.welcome,"Bienvenue sur SunuSàv! Votre compte a été créé avec succès.","Bëgg nga ci SunuSàv! Sa kont sos na lu baax.","Welcome to SunuSàv! Your account has been created successfully."
status.active,"Actif","Jëm ci kanam","Active"
status.cancelled,"Annulé","Wàññi","Cancelled"
status.completed,"Terminé","Jeex na","Completed"
status.draft,"Brouillon","Brouillon","Draft"
status.paused,"En pause","Dàq","Paused"
status.pending,"En attente","Naan","Pending"
time.last_month,"Le mois dernier","Weer bi jëkk","Last month"
time.last_week,"La semaine dernière","Ayubés bi jëkk","Last week"
time.last_year,"L'année dernière","At bi jëkk","Last year"
time.next_month,"Le mois prochain","Weer bi jëm","Next month"
time.next_week,"La semaine prochaine","Ayubés bi jëm","Next week"
time.next_year,"L'année prochaine","At bi jëm","Next year"
time.now,"Maintenant","Tey","Now"
time.this_month,"Ce mois","Weer bi","This month"
time.this_week,"Cette semaine","Ayubés bi","This week"
time.this_year,"Cette année","At bi","This year"
time.today,"Aujourd'hui","Tey","Today"
time.tomorrow,"Demain","Sub","Tomorrow"
time.yesterday,"Hier","Démb","Yesterday"
tontine.amount_label,"Montant par cycle (en sats)","Yoon bu ñu jox (sats)","Amount per cycle (in sats)"
tontine.community_savings_circle,"Cercle d'épargne communautaire","Gëstu ci fayale","Community savings circle"
tontine.complete,"terminé","Jeex na","complete"
tontine.confirm_contribution,"Confirmer la contribution?","Ndax bëgg nga jox?","Confirm contribution?"
tontine.contribute,"Contribuer {{amount}} sats","Jox {{amount}} sats","Contribute {{amount}} sats"
tontine.contribution_amount,"Montant de la contribution","Yoon bu ñu jox","Contribution amount"
tontine.contribution_due,"Contribution due","Jox bi ñu wut","Contribution due"
tontine.create,"Créer une tontine","Sos tontine","Create tontine"
tontine.create_or_join,"Créez ou rejoignez une tontine pour commencer","Sos walla begg tontine","Create or join a tontine to get started"
tontine.current_cycle,"Cycle actuel","Jëf Ci Jëkk","Current cycle"
tontine.cycle_completed,"Cycle terminé","Jëf bi jeex na","Cycle completed"
tontine.description_label,"Description du groupe","Wax ci tontine bi","Group description"
tontine.frequency_label,"Fréquence des contributions","Ñaata la ñu jox","Contribution frequency"
tontine.group_full,"Ce groupe est complet","Group bi jeex na","This group is full"
tontine.history,"Historique des cycles","Jàngal ci kanam","Cycle history"
tontine.insufficient_funds,"Fonds insuffisants","Xaalis amul","Insufficient funds"
tontine.join,"Rejoindre une tontine","Dimloo tontine bi","Join tontine"
tontine.join_group,"Rejoindre ce groupe","Dimloo group bi","Join this group"
tontine.leave_group,"Quitter le groupe","Génn ci group bi","Leave group"
tontine.max_members_label,"Nombre maximum de membres","Nit ñi ñu am","Maximum number of members"
tontine.members,"Membres","Nit ñi","Members"
tontine.name_label,"Nom du groupe","Tur tontine bi","Group name"
tontine.next_payout,"Prochain paiement: {{date}}","Yoon bu jëm: {{date}}","Next payout: {{date}}"
tontine.no_active_tontines,"Aucune tontine active","Tontine amul","No active tontines"
tontine.paid,"Payé","Feewal na","Paid"
tontine.pay_now,"Payer maintenant","Feewal ci jëkk","Pay now"
tontine.payment_amount,"Montant du paiement","Feewal","Payment amount"
tontine.payout_ready,"Paiement disponible!","Li ñu jox nañu!","Payout available!"
tontine.payout_scheduled,"Paiement programmé","Jox bi ñu wàññi","Payout scheduled"
tontine.pool_balance,"Solde du groupe","Li ñu amal","Group balance"
tontine.status_active,"Actif","Jëm ci kanam","Active"
tontine.status_completed,"Terminé","Jeex na","Completed"
tontine.status_pending,"En attente","Naan","Pending"
tontine.success,"Contribution réussie ✅","Jox na nga lu baax ✅","Contribution successful ✅"
tontine.time_remaining,"Temps restant:","Waxtu ci des:","Time remaining:"
tontine.tontine_details,"Détails de la tontine","Tontine Details","Tontine details"
tontine.total_cycles,"Cycles totaux","Jëf Yépp","Total cycles"
tontine.view,"Voir","Seet","View"
tontine.your_tontines,"Vos tontines Bitcoin","Sunu tontine Bitcoin","Your Bitcoin tontines"
ussd.already_member,"Vous êtes déjà membre","Yaa ngi ci group bi","You are already a member"
ussd.balance_info,"Votre solde: {{balance}} sats","Sa jëfandikukat: {{balance}} sats","Your balance: {{balance}} sats"
ussd.confirm_contrib,"Confirmez la contribution de {{amount}} sats (1=Oui / 2=Non)","Ndax bëgg nga jox {{amount}} sats? 1=Waaw 2=Déedéet","Confirm contribution of {{amount}} sats (1=Yes / 2=No)"
ussd.contribution_success,"Contribution réussie","Jox bi am na","Contribution successful"
ussd.error,"Erreur, réessayez.","Njàngat - jéemaatal.","Error, please try again."
ussd.group_full,"Groupe complet","Group bi jeex na","Group is full"
ussd.group_not_found,"Groupe non trouvé","Group bi gisul","Group not found"
ussd.help_text,"Pour plus d'aide, contactez le support","Ngir jàppal, jëkkal support","For more help, contact support"
ussd.insufficient_funds,"Fonds insuffisants","Xaalis amul","Insufficient funds"
ussd.invalid_selection,"Sélection invalide","Tànn bi du baax","Invalid selection"
ussd.menu,"1. Rejoindre
2. Contribuer
3. Solde
4. Historique
Tapez le numéro:","1. Dimloo
2. Jox
3. Jëfandikukat
4. Jàngal
Dugal nimero bi:","1. Join
2. Contribute
3. Balance
4. History
Enter number:"
ussd.no_transactions,"Aucune transaction","Feewal amul","No transactions"
ussd.success,"Contribution confirmée. Merci!","Jox bi am na. Jërëjëf!","Contribution confirmed. Thank you!"
ussd.transaction_history,"Historique des transactions","Jàngal ci feewal yi","Transaction history"
wallet.amount_unknown,"Montant inconnu","Yoon bi xamul","Amount unknown"
wallet.balance,"Solde: {{balance}} sats","Jëfandikukat: {{balance}} sats","Balance: {{balance}} sats"
wallet.camera_permission_message,"Nous avons besoin de la permission caméra pour scanner les QR codes Lightning","Dugg ci kaméra ngir tànn QR code","We need camera permission to scan Lightning QR codes"
wallet.camera_permission_title,"Permission caméra","Dugg ci kaméra","Camera Permission"
wallet.confirm_payment,"Confirmer le paiement","Seetlu feewal","Confirm Payment"
wallet.confirm_payment_details,"Confirmez les détails du paiement","Seetlu feewal details","Confirm the payment details"
wallet.confirmed_transactions,"Transactions confirmées","Feewal yi ñu seetlu","Confirmed transactions"
wallet.copied,"Copié!","Daajal na!","Copied!"
wallet.copy,"Copier","Jox","Copy"
wallet.copy_invoice,"Copier la facture","Daajal faktuur bi","Copy invoice"
wallet.copy_lightning_invoice,"Copiez la facture Lightning depuis votre portefeuille","Daajal Lightning faktuur","Copy the Lightning invoice from your wallet"
wallet.enter_lightning_invoice,"Entrez la facture Lightning manuellement","Dugal Lightning faktuur","Enter Lightning invoice manually"
wallet.flash_off,"Flash désactivé","Flash tugg","Flash Off"
wallet.flash_on,"Flash activé","Flash ubbi","Flash On"
wallet.how_to_pay,"Comment payer?","Naka la feewal?","How to pay?"
wallet.instant_payments,"Paiements instantanés","Feewal Ci Jëkk","Instant payments"
wallet.insufficient_balance,"Solde insuffisant","Jëfandikukat amul","Insufficient balance"
wallet.invalid_qr,"QR code invalide","QR code du baax","Invalid QR code"
wallet.invoice_expired,"Facture expirée","Faktuur bi dugg na","Invoice expired"
wallet.lightning_invoice,"Facture Lightning:","Facture Lightning:","Lightning invoice:"
wallet.lightning_network,"Réseau Lightning","Réseau Lightning","Lightning Network"
wallet.lightning_payment,"Paiement Lightning","Feewal Lightning","Lightning Payment"
wallet.lnurl_detected,"LNURL détecté","LNURL gis na","LNURL detected"
wallet.lnurl_not_supported_yet,"Les paiements LNURL ne sont pas encore supportés","LNURL amul tey","LNURL payments are not supported yet"
wallet.lnurl_receive,"Paiement Lightning reçu","Jot Lightning bi am na","Lightning payment received"
wallet.lnurl_send,"Paiement Lightning envoyé","Yónnee Lightning bi am na","Lightning payment sent"
wallet.memo,"Mémo","Xal","Memo"
wallet.offline_mode,"Mode hors-ligne","Jokkoo dul nekk","Offline mode"
wallet.paste_invoice_above,"Collez-la dans le champ ci-dessus","Daajal faktuur ci kanam","Paste it in the field above"
wallet.paste_invoice_here,"Collez la facture Lightning ici...","Daajal faktuur ci","Paste Lightning invoice here..."
wallet.payment_completed_successfully,"Paiement terminé avec succès!","Feewal bi jeex na lu baax","Payment completed successfully!"
wallet.payment_error,"Erreur de paiement","Njàngat ci feewal","Payment error"
wallet.payment_failed,"Paiement échoué","Feewal bi jàpp","Payment failed"
wallet.payment_queued_offline,"Le paiement a été mis en file d'attente et sera traité quand vous serez en ligne","Feewal bi naan - offline","Payment has been queued and will be processed when you're back online"
wallet.payment_success,"Paiement réussi!","Feewal bi am na","Payment successful!"
wallet.pending_transactions,"Transactions en attente","Feewal yi ñu naan","Pending transactions"
wallet.please_scan_lightning_invoice,"Veuillez scanner une facture Lightning Network","Tànn Lightning faktuur","Please scan a Lightning Network invoice"
wallet.please_wait,"Veuillez patienter pendant le traitement","Naan ci","Please wait while we process your payment"
wallet.position_qr_in_frame,"Positionnez le QR code dans le cadre","Tànn QR code ci frame bi","Position the QR code within the frame"
wallet.private_keys,"Clés privées protégées","Tey ci xel","Private keys protected"
wallet.process_payment,"Traiter le paiement","Jëf feewal","Process Payment"
wallet.processing_payment,"Traitement du paiement...","Mi ngi feewal","Processing payment..."
wallet.receive,"Recevoir","Jot","Receive"
wallet.reset,"Réinitialiser","Fayale","Reset"
wallet.returning_to_home,"Retour à l'écran d'accueil...","Mi ngi génn ci kër","Returning to home screen..."
wallet.scan_error,"Erreur de scan","Tànn bi jàpp","Scan error"
wallet.scan_qr,"Scanner un QR code","Tànn QR code","Scan QR code"
wallet.scan_qr_instruction,"Scannez le QR code avec votre portefeuille Lightning","Scan QR code ci portefeuille Lightning","Scan the QR code with your Lightning wallet"
wallet.secure,"Sécurisé","Tey","Secure"
wallet.send,"Envoyer","Yónnee","Send"
wallet.share,"Partager","Jox","Share"
wallet.step_1,"Ouvrez votre app de portefeuille Bitcoin","Ubbi portefeuille Bitcoin","Open your Bitcoin wallet app"
wallet.step_2,"Scannez le QR code ci-dessus","Scan QR code","Scan the QR code above"
wallet.step_3,"Confirmez le paiement","Jëf feewal","Confirm the payment"
wallet.step_4,"Attendez la confirmation automatique","Jëkk confirmation","Wait for automatic confirmation"
wallet.tap_process_payment,"Appuyez sur 'Traiter le paiement'","Tànn ngir jëf feewal","Tap 'Process Payment'"
wallet.transaction_failed,"Transaction échouée","Feewal bi jàpp","Transaction failed"
wallet.transaction_history,"Historique des transactions","Jàngal ci feewal yi","Transaction history"
wallet.transaction_success,"Transaction réussie","Feewal bi am na","Transaction successful"
wallet.unknown_error,"Erreur inconnue","Njàngat bu kenn xamul","Unknown error occurred"
wallet.waiting_payment,"En attente de paiement...","Jëkk feewal...","Waiting for payment..."
wallet.with_lightning,"Avec le réseau Lightning","Ci Réseau Lightning","With Lightning Network"